và	753363	1.819921031
của	749203	1.82232581
có	550690	1.956018127
các	546857	1.959051542
là	535472	1.968188551
một	513841	1.986096563
được	483561	2.01247405
không	462654	2.031668996
trong	450409	2.043318258
cho	443166	2.050358884
đã	411503	2.082552312
những	355030	2.146660265
với	353673	2.148323411
người	344372	2.159897485
ở	306345	2.210714521
để	264175	2.275033601
này	260660	2.280850927
đến	247577	2.303215021
vào	244310	2.308984074
tôi	241516	2.31397941
về	240512	2.315788568
cũng	221986	2.350599732
phải	219580	2.355332537
lại	217064	2.360337516
khi	212690	2.369178246
ra	211948	2.370695995
như	211314	2.371997047
trên	200971	2.393791924
sẽ	197886	2.400510248
đó	197721	2.400872519
năm	197699	2.400920845
làm	187722	2.423410145
ông	182331	2.436064804
từ	177820	2.446944712
còn	173778	2.456930523
anh	170667	2.464775763
nhiều	165708	2.477581842
theo	161253	2.489417514
tại	160566	2.491271729
thì	160246	2.49213812
mà	158902	2.495795954
đi	157645	2.499245117
sau	153570	2.510618933
việc	146685	2.530539612
nhưng	143795	2.539181532
hai	138887	2.55426372
bị	138322	2.556034058
chỉ	137960	2.557172132
nhà	135020	2.566527214
ngày	134273	2.568936625
lên	133535	2.571330207
số	132336	2.575247314
hơn	127612	2.591033802
mới	122463	2.608920423
nước	121741	2.611488453
sự	121131	2.613670015
nói	120305	2.61664164
biết	118206	2.624285796
mình	112432	2.646035381
có thể	108705	2.660675797
trước	108555	2.661275486
con	108440	2.661735809
rất	100409	2.695152676
đang	97272	2.708937472
nam	94186	2.722938964
thấy	93480	2.726206614
qua	89807	2.743615128
đây	89280	2.746171136
rồi	88515	2.749908444
cả	87859	2.753139062
cái	87461	2.755110879
bằng	87324	2.755791696
do	86149	2.761675077
vẫn	85334	2.765803214
vì	84451	2.770320521
nó	84270	2.771252324
nên	81817	2.784081766
nào	81663	2.784899987
tới	79630	2.795848602
nhất	79594	2.796044987
khác	77770	2.806113218
chưa	77252	2.809015586
chính	76823	2.811434055
cao	76696	2.812152603
lần	76280	2.814514633
sống	75934	2.816489039
đầu	75913	2.816609163
họ	75418	2.819450306
gì	74900	2.8224435
ta	74668	2.823790799
cần	74591	2.824238888
cô	73143	2.832752548
hay	71629	2.841836429
lớn	69869	2.85264079
nếu	69707	2.853648925
trẻ	69269	2.856386399
cùng	69064	2.85767359
bạn	68683	2.860076061
đường	67249	2.869239487
em	66849	2.871830402
thế	66782	2.872265896
rằng	65957	2.877664424
điều	65577	2.880173773
học	65128	2.883157576
đồng	65046	2.883704723
nay	63281	2.895651984
bên	61463	2.908311563
lúc	61403	2.908735727
giải	61338	2.909195706
tháng	61117	2.910763289
bà	60784	2.913136041
bộ	60771	2.913228935
hoặc	60115	2.917942466
mỹ	59319	2.923731496
dùng	58958	2.926382575
trường	58180	2.932151601
đưa	58014	2.933392507
thành	57819	2.934854741
đất	57672	2.935960305
hàng	56238	2.94689545
cuộc	55584	2.951975521
đều	55167	2.95524595
ấy	55152	2.955364051
cách	54869	2.957598272
hà	52788	2.974390109
vừa	52217	2.979113401
loại	52180	2.979421243
nhau	51530	2.984865175
sử dụng	51465	2.98541334
tin	49594	3.00149618
văn	49546	3.001916719
giữa	49199	3.004969042
muốn	48994	3.00678242
tăng	48724	3.009182383
ngoài	48561	3.010637696
mỗi	48249	3.013437001
tuổi	47913	3.016471953
giá	47820	3.017315746
thêm	47747	3.017979228
báo	47726	3.018170281
sao	47639	3.018962681
thường	47624	3.019099448
đội	47455	3.02064334
ba	47379	3.021339427
công ty	47036	3.024494936
triệu	46798	3.026698024
mặt	46482	3.029640511
thông tin	46444	3.029995701
tay	46425	3.030173405
chị	46391	3.030491583
gần	46077	3.033441122
nhận	45479	3.039114411
xây dựng	45172	3.042055998
tổ chức	45160	3.042171384
tiền	45141	3.042354142
tiếng	44945	3.044243933
xuống	44810	3.045550374
quá	44806	3.045589143
viết	44040	3.053078007
chuyện	44033	3.053147042
tỉnh	43992	3.053551611
nữa	43926	3.05420366
ngay	43621	3.0572297
lấy	43469	3.058745668
thời gian	43153	3.061914324
TP	43123	3.062216351
thực hiện	43070	3.062750446
công	43042	3.063032874
trận	42770	3.065786067
nội	42680	3.066700907
mẹ	42596	3.067556499
đặt	42419	3.069364891
nghe	42364	3.069928358
thi	42105	3.072591646
nhìn	41748	3.076289643
nhỏ	41706	3.076726779
từng	41581	3.078030388
trang	41361	3.080334287
nhịp	41079	3.083305455
nơi	40993	3.084215615
trung	40818	3.086073596
tính	40813	3.086126798
thứ	40391	3.090640712
đối với	39859	3.096398919
tuổi trẻ	39682	3.098331765
ai	39445	3.100933357
tìm	39299	3.102543818
vậy	39242	3.103174184
phần	39226	3.103351293
tên	38166	3.115248671
điểm	38021	3.116901782
máy	37612	3.12159889
văn hoá	37387	3.124204699
đầu tư	37323	3.124948773
dân	37144	3.127036647
gặp	37125	3.127258855
hoạt động	37125	3.127258855
minh	37125	3.127258855
chúng tôi	37032	3.12834815
mọi	36913	3.129745975
xe	36605	3.133384906
Xe	36605	3.133384906
phát triển	36349	3.13643285
bình	36321	3.13676752
hỏi	36225	3.137916923
vụ	36154	3.138768964
hoa	36010	3.140502196
nghĩ	35919	3.14160108
chiếc	35653	3.144829238
hết	35602	3.145450922
gây	35585	3.145658347
dưới	35514	3.146525727
tốt	35407	3.147836186
đâu	35273	3.149482919
thanh	34788	3.155495856
khoảng	34448	3.159761305
chân	34242	3.162366195
điện	34129	3.163801754
ăn	34048	3.164833711
hiện	33982	3.165676382
mức	33737	3.168818856
lời	33723	3.168999115
bóng	33318	3.174246394
mua	33104	3.177044844
luật	33054	3.177701295
an	33003	3.178371898
đông	32905	3.179663422
chương trình	32873	3.180085978
đứng	32846	3.180442829
xã hội	32843	3.180482497
chọn	32584	3.18392092
mạch	32566	3.184160899
cấp	32491	3.185162239
phía	32457	3.185616942
xem	32370	3.186782618
chẳng	32367	3.18682287
đúng	32039	3.191246365
a	32011	3.191626076
thế giới	31980	3.192046858
giờ	31875	3.193475124
giảm	31581	3.19749944
phim	31526	3.198256446
tuy nhiên	31393	3.200092497
thật	31362	3.200521567
bệnh	31329	3.200978785
chúng	31325	3.201034238
đầu tiên	31254	3.20201971
sang	31230	3.202353333
bản	31209	3.202645464
mắt	31203	3.202728966
phòng	31139	3.203620656
hồ	31016	3.205339529
cứ	30805	3.208304104
ban	30584	3.211431032
giáo dục	30584	3.211431032
bán	30440	3.213480669
vấn đề	30353	3.214723696
mùa	30231	3.216472804
thuốc	30113	3.218171293
thu	30086	3.218560866
hội	29936	3.220731547
sáng	29880	3.221544724
mang	29722	3.223847288
tạo	29631	3.225179009
vùng	29624	3.225281618
hệ thống	29622	3.22531094
dài	29280	3.230354245
tự	29239	3.230962802
thị	29233	3.231051931
nàng	28997	3.234572249
chơi	28774	3.237925078
chạy	28725	3.23866528
lê	28665	3.239573371
đủ	28524	3.24171489
sơn	28470	3.24253785
nghiên cứu	28436	3.243056812
giúp	28361	3.244203778
hồ sơ	28308	3.245016131
lớp	28211	3.246506837
bài	28100	3.248218998
không thể	28060	3.248837651
hình	28024	3.249395193
tư	27854	3.252037746
TƯ	27854	3.252037746
đoàn	27590	3.256173617
ảnh	27474	3.258003424
ngồi	27463	3.258177341
ngành	27151	3.263139488
chết	27075	3.264356852
mấy	27058	3.264629625
đêm	26995	3.265641986
du	26987	3.265770708
sản xuất	26987	3.265770708
mất	26946	3.266431012
chủ	26762	3.269406751
yêu cầu	26735	3.269845129
rõ	26700	3.270414056
bước	26623	3.271668325
thắng	26610	3.271880443
cây	26541	3.273008035
tất cả	26372	3.27578225
kiểm tra	26359	3.275996387
lòng	26351	3.276128216
cơ quan	26311	3.276787963
bạn đọc	26275	3.277382593
dòng	26151	3.279437017
liệu	26103	3.280234894
trần	26016	3.281684794
độ	25998	3.281985378
chịu	25855	3.284380775
tây	25698	3.287025993
bàn	25672	3.287465613
công trình	25634	3.288108937
so	25625	3.288261443
xin	25582	3.288990823
giữ	25448	3.291271661
nằm	25368	3.292639088
phép	25248	3.294698336
bảo	25247	3.294715537
lan	25174	3.29597309
kết quả	25140	3.296560044
khả năng	25051	3.29810025
đá	25008	3.298846357
mạnh	24994	3.299089552
toà	24952	3.299819956
đấu	24936	3.300098528
đức	24936	3.300098528
quyết định	24903	3.300673649
thiết kế	24892	3.300865525
huyện	24860	3.301424193
bỏ	24783	3.302771441
kinh tế	24763	3.30312206
vàng	24722	3.303841715
khu	24717	3.30392956
doanh nghiệp	24637	3.305337494
chỗ	24606	3.305884298
sông	24577	3.306396448
nhóm	24526	3.307298594
sinh	24508	3.307617446
khỏi	24487	3.307989736
nhớ	24462	3.308433356
gia đình	24435	3.308912974
long	24410	3.309357538
tiếp tục	24360	3.310248033
đánh	24359	3.310265862
kể	24254	3.312141944
riêng	24219	3.31276911
USD	24034	3.316099261
